,APPL,,,,,,AMZN,,,,,,APT,,,,,,FB,,,,,,GOOG,,,,,,LAKE,,,,,,NFLX,,,,,,NNVC,,,,,,TSLA,,,,,,YOJ.SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/2,282.279999,301.440002,277.720001,298.809998,298.003296,85349300,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700,19.59,19.620001,12.61,16,16,15632800,194.029999,196.570007,188.850006,196.440002,196.440002,24949000,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500,19.91,20.09,15.66,18.1,18.1,3281600,373.109985,381.359985,364.5,381.049988,381.049988,6997900,9.44,9.65,8.11,8.49,8.49,1593000,711.26001,743.690002,686.669983,743.619995,743.619995,20195000,3.18,3.32,3.18,3.2,-6.783099,9450,,2020/3/1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/3,303.670013,304,285.799988,289.320007,288.53894,79868900,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500,13.41,21.65,13,19.190001,19.190001,21864300,196.220001,197.240005,183.970001,185.889999,185.889999,27984100,1399.420044,1410.150024,1332,1341.390015,1341.390015,2402300,16.950001,19.299999,16.02,17.76,17.76,2936700,381.029999,393.519989,367.399994,368.769989,368.769989,8364600,7.99,8.39,7.79,8.39,8.39,1335900,805,806.97998,716.109985,745.51001,745.51001,25784000,3.42,3.42,3.42,3.42,-7.249437,0,,2020/3/2,282.279999,301.440002,277.720001,298.809998,298.003296,85349300,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700,19.59,19.620001,12.61,16,16,15632800,194.029999,196.570007,188.850006,196.440002,196.440002,24949000,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500,19.91,20.09,15.66,18.1,18.1,3281600,373.109985,381.359985,364.5,381.049988,381.049988,6997900,9.44,9.65,8.11,8.49,8.49,1593000,711.26001,743.690002,686.669983,743.619995,743.619995,20195000,3.18,3.32,3.18,3.2,-6.783099,9450
2020/3/4,296.440002,303.399994,293.130005,302.73999,301.922699,54794600,1946.569946,1978,1922,1975.829956,1975.829956,4772900,16.75,19.969999,15.51,16,16,8731800,189.169998,191.830002,186.389999,191.759995,191.759995,23062500,1359.22998,1388.089966,1343.109985,1386.52002,1386.52002,1913300,17,18,16.200001,16.459999,16.459999,1565100,377.769989,384.01001,370.51001,383.790009,383.790009,5487300,7.65,8.97,7.65,7.93,7.93,1370900,763.960022,766.52002,724.72998,749.5,749.5,15049000,3.4,3.4,3.4,3.4,-7.207043,0,,2020/3/3,303.670013,304,285.799988,289.320007,288.53894,79868900,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500,13.41,21.65,13,19.190001,19.190001,21864300,196.220001,197.240005,183.970001,185.889999,185.889999,27984100,1399.420044,1410.150024,1332,1341.390015,1341.390015,2402300,16.950001,19.299999,16.02,17.76,17.76,2936700,381.029999,393.519989,367.399994,368.769989,368.769989,8364600,7.99,8.39,7.79,8.39,8.39,1335900,805,806.97998,716.109985,745.51001,745.51001,25784000,3.42,3.42,3.42,3.42,-7.249437,0
2020/3/5,295.519989,299.549988,291.410004,292.920013,292.129211,46893200,1933,1960.719971,1910,1924.030029,1924.030029,4748200,18.190001,18.549999,15.8,16.469999,16.469999,7684400,186.779999,188.990005,183.889999,185.169998,185.169998,19333400,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300,16.85,17.59,16.52,16.73,16.73,1444200,381,391.399994,368.640015,372.779999,372.779999,8747000,8.04,8.39,7.92,8.08,8.08,3930200,723.77002,745.75,718.070007,724.539978,724.539978,10852700,3.3,3.3,3.3,3.3,-6.99507,0,,2020/3/4,296.440002,303.399994,293.130005,302.73999,301.922699,54794600,1946.569946,1978,1922,1975.829956,1975.829956,4772900,16.75,19.969999,15.51,16,16,8731800,189.169998,191.830002,186.389999,191.759995,191.759995,23062500,1359.22998,1388.089966,1343.109985,1386.52002,1386.52002,1913300,17,18,16.200001,16.459999,16.459999,1565100,377.769989,384.01001,370.51001,383.790009,383.790009,5487300,7.65,8.97,7.65,7.93,7.93,1370900,763.960022,766.52002,724.72998,749.5,749.5,15049000,3.4,3.4,3.4,3.4,-7.207043,0
2020/3/6,282,290.820007,281.230011,289.029999,288.249725,56544200,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600,16.549999,16.75,14.12,14.42,14.42,5424300,178.330002,183.779999,176.259995,181.089996,181.089996,24559600,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600,17.15,17.190001,15.61,16.459999,16.459999,1247900,367.700012,371.309998,356.850006,368.970001,368.970001,8147200,11.3,12.75,10.42,11.19,11.19,9921700,690,707,684.27002,703.47998,703.47998,12662900,3.26,3.26,3.26,3.26,-6.910282,0,,2020/3/5,295.519989,299.549988,291.410004,292.920013,292.129211,46893200,1933,1960.719971,1910,1924.030029,1924.030029,4748200,18.190001,18.549999,15.8,16.469999,16.469999,7684400,186.779999,188.990005,183.889999,185.169998,185.169998,19333400,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300,16.85,17.59,16.52,16.73,16.73,1444200,381,391.399994,368.640015,372.779999,372.779999,8747000,8.04,8.39,7.92,8.08,8.08,3930200,723.77002,745.75,718.070007,724.539978,724.539978,10852700,3.3,3.3,3.3,3.3,-6.99507,0
2020/3/9,263.75,278.089996,263,266.170013,265.451447,71686200,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200,14.8,15.22,10.09,11.68,11.68,5110900,169.600006,175,165.190002,169.5,169.5,29949000,1205.300049,1254.76001,1200,1215.560059,1215.560059,3365400,16.75,16.940001,13.99,14.34,14.34,1127900,343.859985,357.470001,341.720001,346.48999,346.48999,7405500,11.7,12.13,9.05,9.18,9.18,2461000,605.390015,663,605,608,608,17073700,3.26,3.26,3.26,3.26,-6.910282,0,,2020/3/6,282,290.820007,281.230011,289.029999,288.249725,56544200,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600,16.549999,16.75,14.12,14.42,14.42,5424300,178.330002,183.779999,176.259995,181.089996,181.089996,24559600,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600,17.15,17.190001,15.61,16.459999,16.459999,1247900,367.700012,371.309998,356.850006,368.970001,368.970001,8147200,11.3,12.75,10.42,11.19,11.19,9921700,690,707,684.27002,703.47998,703.47998,12662900,3.26,3.26,3.26,3.26,-6.910282,0
2020/3/10,277.140015,286.440002,269.369995,285.339996,284.569672,71322500,1870.880005,1894.27002,1818.170044,1891.819946,1891.819946,7133300,11.24,11.24,8.33,9.21,9.21,4845700,174.669998,178.289993,169.5,178.190002,178.190002,24517800,1260,1281.150024,1218.77002,1280.390015,1280.390015,2611400,13.89,14.96,13.38,14.45,14.45,1122200,356.429993,364.540009,347.850006,364.130005,364.130005,7604400,8.82,9.37,6.8,7.28,7.28,1616500,659.429993,668,608,645.330017,645.330017,15594400,3.06,3.06,3,3,-6.359155,3125,,2020/3/7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/11,277.390015,281.220001,271.859985,275.429993,274.686432,63899700,1857.849976,1871.319946,1801.5,1820.859985,1820.859985,5624800,9.88,13.5,9.26,11.41,11.41,13065900,174.009995,175.880005,167.660004,170.240005,170.240005,20373900,1249.699951,1260.959961,1196.069946,1215.410034,1215.410034,2608500,14.61,17.48,14.29,16.440001,16.440001,2508800,358.920013,362.980011,344.790009,349.920013,349.920013,6036000,7.29,8.88,6.95,8.02,8.02,2267600,640.200012,653.580017,613,634.22998,634.22998,13322500,3.14,3.14,3.14,3.14,-6.655916,0,,2020/3/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/12,255.940002,270,248,248.229996,247.55986,104618500,1721.97998,1765,1675,1676.609985,1676.609985,11346200,16,16,11.54,12.55,12.55,9736000,159.539993,166.600006,154.339996,154.470001,154.470001,43266300,1126,1193.869995,1113.300049,1114.910034,1114.910034,4226700,17.4,18,14.75,15.74,15.74,1141100,326.5,335.720001,307.320007,315.25,315.25,12071600,8.5,8.58,6.95,7.6,7.6,1379400,580.890015,594.5,546.25,560.549988,560.549988,18909100,3.02,3.02,3.02,3.02,-6.401549,0,,2020/3/9,263.75,278.089996,263,266.170013,265.451447,71686200,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200,14.8,15.22,10.09,11.68,11.68,5110900,169.600006,175,165.190002,169.5,169.5,29949000,1205.300049,1254.76001,1200,1215.560059,1215.560059,3365400,16.75,16.940001,13.99,14.34,14.34,1127900,343.859985,357.470001,341.720001,346.48999,346.48999,7405500,11.7,12.13,9.05,9.18,9.18,2461000,605.390015,663,605,608,608,17073700,3.26,3.26,3.26,3.26,-6.910282,0
